מקט,קו,מפעילה,מסלול,נסיעות ביום,מהן נגישות,אחוז נגיש
12174,174,אגד,ת. מרכזית רחובות/רציפים-רחובות<->מסוף רדינג/הורדה-תל אביב יפ,24,0,0%
12356,356,אלקטרה אפיקים,קניון איילון-בני ברק<->שדרות ירושלים/ז'בוטינסקי-קרית מלאכי-2,71,0,0%
28071,71,קווים,קידמה/התמדה-חריש<->ת. רכבת בנימינה-בנימינה גבעת עדה-20,144,0,0%
11177,177,קווים,קדושת לוי/שלום רב-ביתר עילית<->הרצוג/עובדיה מברטנורא-נתניה-1,20,0,0%
11138,138,קווים,ת. רכבת בית שמש-בית שמש<->הר''ן/קדושת לוי-ביתר עילית-20,14,0,0%
13221,221,קווים,רוז'ין/ הטוב והמטיב-ביתר עילית<->שיבת ציון/טללים-ירושלים-10,12,0,0%
12294,294,קווים,חיי יצחק/הרב בנדר-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלי,225,0,0%
16353,353,נסיעות ותיירות,המכללה האקדמית גליל מערבי/דרך המכללה-עכו<->עיריית נצרת-נצרת-,64,0,0%
12131,131,קווים,קדושת לוי/שלום רב-ביתר עילית<->רבי מאיר/רבן יוחנן בן זכאי-אל,55,0,0%
10586,586,קווים,מסוף מודיעין עילית-מודיעין עילית<->ת.רכבת נתיבות/רציפים-נתיב,10,0,0%
10584,584,קווים,מסוף מודיעין עילית-מודיעין עילית<->הרצוג/עובדיה מברטנורא-נתנ,5,0,0%
10685,685,קווים,מסוף מודיעין עילית-מודיעין עילית<->מסוף שער העיר/הורדה-קרית ,5,0,0%
11686,686,קווים,בית ספר שושנים/החיד''א-אופקים<->מסוף מודיעין עילית/הורדה-מוד,13,0,0%
13132,132,קווים,תיכון בית רחל-קוממיות<->הר''ן/קדושת לוי-ביתר עילית-21,66,0,0%
12129,129,קווים,בבא סאלי/ נדבורנא-ביתר עילית<->מגדל ויטה/דרך בן גוריון-בני ב,43,0,0%
13245,245,קווים,קדושת לוי/שלום רב-ביתר עילית<->כפר שאול/קצנלבוגן-ירושלים-10,162,0,0%
10881,881,קווים,שדרות הפלמח/חטיבת כרמלי-אשדוד<->רמב''ן/שדרות בית שמאי-מודיעי,59,0,0%
11871,871,קווים,שדרות הפלמח/חטיבת כרמלי-אשדוד<->משך חוכמה ז-מודיעין עילית-20,8,0,0%
11891,891,קווים,אבי עזרי א-מודיעין עילית<->שדרות הפלמח/חטיבת כרמלי-אשדוד-10,8,0,0%
10873,873,קווים,בית עלמין צבאי/יוסף בורג-ראשון לציון<->משך חוכמה ז-מודיעין ע,3,0,0%
11893,893,קווים,בית עלמין צבאי/יוסף בורג-ראשון לציון<->אבי עזרי ז-מודיעין עי,3,0,0%
11283,283,מטרופולין,רכבת/מסוף ביג - רציפים-אשדוד<->רבן יוחנן בן זכאי/שמעיה-אלעד-,41,0,0%
10883,883,קווים,בית עלמין צבאי/יוסף בורג-ראשון לציון<->מסוף מודיעין עילית/הו,44,0,0%
10885,885,קווים,שדרות האמוראים/זכריה הנביא-בית שמש<->רמב''ן/שדרות בית שמאי-מ,163,0,0%
29034,34,קווים,איזור התעשיה נשר-נחם<->גבעות עדן א'-מטה יהודה-20,42,0,0%
11128,128,קווים,האדמו''ר מרוז'ין/רבי עקיבא-ביתר עילית<->יוסף קארו/בן איש חי-,104,0,0%
12293,293,קווים,דרכי איש/הרב ברוק-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלי,114,0,0%
16222,222,קווים,רוז'ין/ הטוב והמטיב-ביתר עילית<->אגרות משה/חזון אי''ש-ירושלי,27,0,0%
10875,875,קווים,משך חוכמה ב-מודיעין עילית<->שדרות האמוראים/רבינא-בית שמש-10,8,0,0%
10421,421,אגד,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מצדה-מצדה-18,8,0,0%
10454,454,אלקטרה אפיקים,זכריה הנביא/שדרות האמוראים-בית שמש<->בני ברית/מורדי הגיטאות-,96,0,0%
20140,140,מטרופולין,עזוז/מרכז-עזוז<->ת.מרכזית באר שבע/הורדה-באר שבע-22,26,0,0%
11225,225,קווים,האדמו''ר מרוז'ין/רבי עקיבא-ביתר עילית<->כפר שאול/קצנלבוגן-יר,107,0,0%
14352,352,סופרבוס,עתאללה עאדל-שבלי<->מסוף מגדל העמק-מגדל העמק-20,36,0,0%
10283,283,אלקטרה אפיקים,חבקוק/מרים הנביאה-ראש העין<->ת.מרכזית תל אביב קומה 7/הורדה-ת,222,0,0%
12148,148,קווים,בן איש חי/יוסף קארו-בית שמש<->קדושת לוי/אוהל שרה-ביתר עילית-,47,0,0%
11224,224,קווים,רוז'ין/ הטוב והמטיב-ביתר עילית<->מעגלי הרי''ם לוין/האדמורים ,11,0,0%
12291,291,קווים,זוועהיל א-ביתר עילית<->הרטום/שדרות גולדה מאיר-ירושלים-11,121,0,0%
13176,176,קווים,ההגנה/חי''ש-רחובות<->הר''ן/קדושת לוי-ביתר עילית-20,15,0,0%
29031,31,קווים,קוצין/קרלה-מסילת ציון<->לוזית מרכז א-לוזית-21,38,0,0%
12237,237,קווים,האתרוג/קרלין-גבעת זאב<->הר''ן/קדושת לוי-ביתר עילית-20,101,0,0%
24067,67,סופרבוס,ת.מרכזית עפולה/רציפים-עפולה<->גבעת אלה-גבעת אלה-10,20,0,0%
30035,35,קווים,נחם ב-נחם<->מזכירות-נחושה-20,36,0,0%
11358,358,גי.בי.טורס,מסוף מגדל העמק/רציפים-מגדל העמק<->ת. מרכזית המפרץ/הורדה-חיפה,72,0,0%
18279,279,קווים,הרב ש''י זווין/הרב וינוגרד-ירושלים<->הר''ן/קדושת לוי-ביתר עי,11,0,0%
13133,133,קווים,גן הדסים/שדרות בית הלל-מודיעין עילית<->הר''ן/קדושת לוי-ביתר ,110,0,0%
12244,244,קווים,קדושת לוי/שלום רב-ביתר עילית<->מעגלי הרי''ם לוין/האדמורים מג,18,0,0%
10796,796,קווים,ביר אל סיכה-זמר<->מתנ''ס-עספיא-11,14,0,0%
11774,774,קווים,חט''ב א/עבד אל חי-טירה<->אוניברסיטה/רב תכליתי-חיפה-11,40,0,0%
12151,151,תנופה,התע''ש/יד חרוצים-כפר סבא<->ערבי הנחל/הדס-צופים-20,24,0,0%
18175,175,קווים,קדושת לוי/שלום רב-ביתר עילית<->שדרות ירושלים/ז'בוטינסקי-קרית,15,0,0%
12297,297,קווים,קדושת לוי/שלום רב-ביתר עילית<->כביש 396/''בי''ח הדסה עין כרם,1,0,0%
11199,199,קווים,ז'בוטינסקי/ אבו חצירא-בני ברק<->אמרי סופר/הרב אלישיב-ביתר עי,7,0,0%
11238,238,קווים,קדושת לוי/שלום רב-ביתר עילית<->קבר רחל-ירושלים-10,8,0,0%
12441,441,דן בדרום,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->תחנה מרכזית גדרה-גדר,6,0,0%
12242,242,קווים,אגרות משה/חזון איש-ירושלים<->קדושת לוי/אוהל שרה-ביתר עילית-2,12,0,0%
21352,352,נסיעות ותיירות,ביג פאשן/עיריית נצרת-נצרת<->ת. מרכזית המפרץ/הורדה-חיפה-1#,62,0,0%
19383,383,קווים,מסוף מודיעין עילית-מודיעין עילית<->מרכז מסחרי/אגן האיילות-גב,10,0,0%
13385,385,קווים,מסוף מודיעין עילית-מודיעין עילית<->הרב אברהם רביץ-ירושלים-10,10,0,0%
11781,781,קווים,מסוף מודיעין עילית-מודיעין עילית<->נשיאי ישראל/הדקל-כרמיאל-1,10,0,0%
11484,484,תנופה,מרכז ספורט-מבשרת ציון<->ת. רכבת תל אביב - סבידור/הורדה-תל אב,48,0,0%
11485,485,דן בדרום,מגדל המים-אופקים<->מסוף הרכבת/הורדה-בית שמש-2#,18,0,0%
35056,56,מטרופולין,מסוף בני ברית-אשדוד<->קופת חולים/קוממיות-קוממיות-2#,10,0,0%
14163,163,קווים,מצפה אילן מרכז-מצפה אילן<->ת.רכבת חדרה מערב-חדרה-20,28,0,0%
10768,768,קווים,ת. רכבת חוף הכרמל-חיפה<->ביה''ס אשאטי-ג'סר א זרקא-20,55,0,0%
12485,485,דרך אגד עוטף ירושלים,חניון הלאום/שד' הנשיא השישי-ירושלים<->נתב''ג טרמינל 3/קומת ה,12,0,0%
12589,589,מטרופולין,מגדל מים-תל שבע<->מכללת ספיר-שער הנגב-1#,12,0,0%
10543,543,אגד,מלון יפה נוף-ערד<->מסוף שער העיר/הורדה-קרית גת-2א,16,0,0%
10402,402,אגד,קניון איילון-בני ברק<->מרכז תחבורתי הארזים/הורדה-ירושלים-15,825,0,0%
12209,209,קווים,נתיבות המשפט/סמינר-מודיעין עילית<->אזור התעשייה-בני ברק-12,99,0,0%
11453,453,מטרופולין,חניון הלאום-ירושלים<->ישיבת הר''ן/רבי יהודה הנשיא-אלעד-20,2,0,0%
11270,270,אגד,מסוף רדינג/רציפים-תל אביב יפו<->ת. מרכזית ראשל''צ-ראשון לציו,40,0,0%
10589,589,קווים,מסוף מודיעין עילית-מודיעין עילית<->מסוף שער העיר/הורדה-קרית ,5,0,0%
18482,482,דן בדרום,קדושת לוי/שלום רב-ביתר עילית<->מגדל המים-אופקים-1#,8,0,0%
10689,689,מטרופולין,מכללת אחוה-באר טוביה<->מסגד טאלב/קופת חולים לאומית-ערערה בנג,16,0,0%
10505,505,אגד,ת. מרכזית ק''ש/רציפים-קרית שמונה<->ת. מרכזית המפרץ/הורדה-חיפ,60,0,0%
10112,112,אגד,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->קבוץ פלמחים מרכ,2,0,0%
10318,318,אגד,מנחם בגין/בית עלמין-רחובות<->קניון איילון-בני ברק-1#,15,0,0%
10426,426,אגד,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->רכבת קריית אריה/חנה ,164,0,0%
10202,202,אגד,ת. מרכזית חוף הכרמל/רציפים בינעירוני-חיפה<->מסוף רכבת קיסריה,82,0,0%
10406,406,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->חניון אגד/דן שומרו,65,0,0%
10471,471,אגד,רמות/מסוף-ירושלים<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב י,2,0,0%
10384,384,אגד,בית ספר שדה-תמר<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,15,0,0%
10481,481,אגד,תלמוד תורה/דרך קדם-מעלה אדומים<->ת. רכבת תל אביב - סבידור/הו,8,0,0%
12460,460,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->כיכר המעפיל-קרית ג,35,0,0%
11368,368,נתיב אקספרס,נשיאי ישראל/עומר-כרמיאל<->ת. מרכזית נהריה/הורדה-נהריה-2#,116,0,0%
13426,426,סופרבוס,תמר/זית-עמק יזרעאל<->קרית חינוך/הגיא-יקנעם עילית-21,40,0,0%
14413,413,סופרבוס,מפעלים אזוריים-עמק המעיינות<->ת.מרכזית עפולה/הורדה-עפולה-20,20,0,0%
23633,633,קווים,ביר אל סיכה-זמר<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-,39,0,0%
14288,288,גי.בי.טורס,עוזייר שכונה צפונית-עוזייר<->סחנין עיריה-סח'נין-1#,12,0,0%
10828,828,נסיעות ותיירות,קופת חולים/חרמון-נוף הגליל<->מסוף אלוף שדה-רמת גן-1#,20,0,0%
20108,108,קווים,מסוף עתידים-תל אביב יפו<->שדרות החשמונאים/לב העיר-מודיעין מכ,15,0,0%
11988,988,אגד,הנרקיסים/האירוסים ב-רכסים<->חזון אי''ש/האדמור מנדבורנא-בני ב,6,0,0%
10991,991,אגד,ת. מרכזית אילת/רציפים-אילת<->ת. מרכזית חוף הכרמל/הורדה-חיפה-,4,0,0%
15507,507,בית שמש אקספרס,מנחם בגין/בית עלמין-רחובות<->זכריה הנביא/שדרות האמוראים-בית ,76,0,0%
10187,187,תנופה,אולם ספורט-הר אדר<->שדרות שז''ר/בנייני האומה-ירושלים-20,88,0,0%
12241,241,קווים,שיבת ציון/טללים-ירושלים<->קדושת לוי/אוהל שרה-ביתר עילית-20,27,0,0%
11616,616,תנופה,שדרות נהר הדן/שדרות נחל צאלים-בית שמש<->הרטום/שדרות גולדה מא,296,0,0%
12620,620,תנופה,מסוף דרך חיים-בית שמש<->שדרות שז''ר/בנייני האומה-ירושלים-20,104,0,0%
11615,615,תנופה,מסוף דרך חיים-בית שמש<->שדרות שז''ר/בנייני האומה-ירושלים-20,250,0,0%
11577,577,מטרופולין,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->מסוף/רבי יהודה הנשיא,158,0,0%
17179,179,נתיב אקספרס,ת. מרכזית ק''ש/רציפים-קרית שמונה<->מזכירות-חולתה-2#,16,0,0%
14281,281,ירושלים-רמאללה איחוד,מחסום קלנדיה-מטה בנימין<->מחסום קלנדיה-מטה בנימין-32,24,0,0%
18477,477,אלקטרה אפיקים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->חבקוק/מרים הנ,230,0,0%
13324,324,בית שמש אקספרס,תחנת רכבת קריית גת/כניסה-קרית גת<->מסוף הרכבת/הורדה-בית שמש-,60,0,0%
13478,478,אלקטרה אפיקים,'עמל א-ראש העין<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו,24,0,0%
12364,364,נתיב אקספרס,ת. רכבת כרמיאל/רציפים-כרמיאל<->ת. מרכזית צפת/הורדה-צפת-2#,127,0,0%
18148,148,נתיב אקספרס,מזכירות-כלנית<->בר יוחאי-בר יוחאי-2#,15,0,0%
16149,149,נתיב אקספרס,ת. רכבת כרמיאל/רציפים-כרמיאל<->מזכירות-כלנית-2#,12,0,0%
28111,111,מועצה אזורית גולן,ת. מרכזית ק''ש/רציפים-קרית שמונה<->גשור-גשור-20,12,0,0%
11855,855,סופרבוס,מסוף מודיעין עילית-מודיעין עילית<->דולב/יצחק שדה-עפולה-20,10,0,0%
11344,344,גי.בי.טורס,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->פאולוס השישי/תאופיק ,31,0,0%
10971,971,אגד,תחנה תפעולית/נחל גיבורים-חיפה<->חזון אי''ש/האדמור מנדבורנא-ב,20,0,0%
25018,18,מטרופולין,סלעית/שכונה צפונית-סלעית<->תחנה מרכזית כפ''ס/ויצמן-כפר סבא-2,80,0,0%
16123,123,גי.בי.טורס,עוזייר שכונה צפונית-עוזייר<->המכללה האקדמית כנרת-עמק הירדן-1,10,0,0%
17148,148,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->מסוף שכונה ירוק,141,0,0%
13241,241,קווים,מסוף אום אל פחם-אום אל פחם<->ביה''ס אשאטי-ג'סר א זרקא-11,18,0,0%
35051,51,נתיב אקספרס,הרחבה-קדרים<->מסוף חצור הגלילית/הורדה-חצור הגלילית-2#,24,0,0%
10631,631,קווים,ת. רכבת חוצות המפרץ-חיפה<->קידמה/התמדה-חריש-21,41,0,0%
15137,137,מטרופולין,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->פארק המדע עומר-ע,45,0,0%
12262,262,מטרופולין,אלסלאם/אלתקוא-חורה<->ת.מרכזית באר שבע/הורדה-באר שבע-2#,22,0,0%
12208,208,קווים,מסוף שוהם-שוהם<->מחנה צבא/אהרון יריב-רמת השרון-10,4,0,0%
13430,430,אגד,חניון חנה וסע חטיבה שבע/איסוף-מטה יהודה<->חניון הלאום-ירושלי,94,0,0%
13608,608,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. רכבת נתניה-נ,210,0,0%
10602,602,מטרופולין,חבצלת החוף/אירוס הארגמן-נתניה<->ת.מרכזית תל אביב קומה 6/הורד,6,0,0%
11609,609,מטרופולין,ת. רכבת רעננה מערב/איסוף-רעננה<->ת. מרכזית נתניה-נתניה-2#,94,0,0%
12619,619,מטרופולין,מסוף קדמה-רמת השרון<->ת. מרכזית נתניה-נתניה-2#,42,0,0%
10612,612,מטרופולין,בית העלמין/חזון אי''ש-בני ברק<->קמיל הויסמנס/בלפור-נתניה-2#,203,0,0%
10617,617,מטרופולין,ת. רכבת הרצליה-הרצליה<->ת. רכבת נתניה-נתניה-2#,74,0,0%
10623,623,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->חוף פולג/רמת פו,62,0,0%
10624,624,מטרופולין,זכריה הנביא/נריה הנביא-בית שמש<->הרצוג/עובדיה מברטנורא-נתניה,36,0,0%
11699,699,מטרופולין,הרכבת/ראש פינה-תל אביב יפו<->ת. מרכזית נתניה-נתניה-2#,30,0,0%
13603,603,מטרופולין,שמחה ארליך/שדרות בן גוריון-נתניה<->ת.מרכזית תל אביב קומה 6/ה,10,0,0%
14967,967,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->מסוף בית שאן/הורדה,32,0,0%
14117,117,מטרופולין,כסייפה/שכונה 13-כסיפה<->הברזל/הזורע-באר שבע-2#,26,0,0%
51033,33,קווים,מסוף קסטינה-מלאכי לצפון-באר טוביה<->נחם א-נחם-20,8,0,0%
18147,147,נתיב אקספרס,ת. רכבת כרמיאל/רציפים-כרמיאל<->אזה''ת ג'יש-ג'יש-2#,22,0,0%
11792,792,אגד,מרכז רפואי-ערערה<->המגינים/הבנקים-חיפה-1#,5,0,0%
10854,854,סופרבוס,דולב/יצחק שדה-עפולה<->האתרוג/קרלין-גבעת זאב-10,12,0,0%
10975,975,אגד,מסוף עין התכלת/איסוף-נתניה<->הרצל/זבולון-חיפה-1#,8,0,0%
10976,976,אגד,תחנה תפעולית/נחל גיבורים-חיפה<->מרכז תחבורתי הארזים/הורדה-יר,3,0,0%
25170,170,קווים,מסוף כרמלית-תל אביב יפו<->ת. מרכזית לוד/הורדה-לוד-20,12,0,0%
39056,56,קווים,דרך לב השרון/האילן-קדימה צורן<->ת. רכבת בית יהושע-בית יהושע-,47,0,0%
53055,55,קווים,שבזי/סעדיה אבני-קדימה צורן<->ת. רכבת בית יהושע-בית יהושע-20,51,0,0%
31111,111,קווים,ת. רכבת בית יהושע-בית יהושע<->גורדון/כצנלסון-קדימה צורן-18,31,0,0%
28112,112,קווים,חוף פולג/רמת פולג-נתניה<->הדקל/מצדה-תל מונד-12,41,0,0%
15114,114,אלקטרה אפיקים,באקה/כניסה צפונית-באקה אל ע'רביה<->מסוף כפר קאסם-כפר קאסם-20,59,0,0%
13701,701,קווים,ת. רכבת בנימינה/הטחנה-בנימינה גבעת עדה<->הנרקיס/הסביון-זכרון,69,0,0%
17137,137,קווים,ת. רכבת בית שמש-בית שמש<->מעזריטש/שדרות דרך האר''י-ביתר עילי,22,0,0%
14620,620,קווים,האופן/החרש-פתח תקווה<->קופ''ח כללית-ג'ת-20,21,0,0%
12720,720,נסיעות ותיירות,בי''ס אבן ח'לדון/אלקאסמי-באקה אל ע'רביה<->תחנה מרכזית נצרת-נ,128,0,0%
11535,535,קווים,בית ספר כפר גנים/י''ד הבנים-פתח תקווה<->האתרוג/הלימון-שוהם-2,4,0,0%
28042,42,תנופה,ת. רכבת מלאכי יואב/איסוף-יואב<->רבדים-רבדים-20,122,0,0%
36041,41,תנופה,ת. רכבת מלאכי יואב/איסוף-יואב<->מגרש ספורט-שדות מיכה-20,122,0,0%
12233,233,קווים,ת. מרכזית נתניה/רציפים-נתניה<->'מצר א-מצר-21,50,0,0%
10468,468,אלקטרה אפיקים תחבורה,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות<->תחנת רכבת ,116,0,0%
21148,148,נתיב אקספרס,שייח דנון כניסה-שייח' דנון<->ת.מרכזית עכו/דרך הארבעה-עכו-2#,32,0,0%
22130,130,קווים,מסוף שרונה-כפר יונה<->ת. מרכזית נתניה/הורדה-נתניה-10,89,0,0%
14241,241,קווים,ת. מרכזית נתניה/רציפים-נתניה<->חטיבת ביניים עתיד-כפר יונה-20,91,0,0%
14240,240,קווים,ת. מרכזית נתניה/רציפים-נתניה<->חטיבת ביניים עתיד-כפר יונה-20,53,0,0%
23140,140,קווים,חטיבת ביניים עתיד-כפר יונה<->ת. מרכזית נתניה/הורדה-נתניה-10,50,0,0%
19141,141,קווים,חטיבת ביניים עתיד-כפר יונה<->ת. מרכזית נתניה/הורדה-נתניה-10,81,0,0%
18138,138,קווים,חוף פולג/רמת פולג-נתניה<->מסוף שרונה-כפר יונה-23,161,0,0%
19131,131,קווים,ת. מרכזית נתניה/רציפים-נתניה<->מסוף שרונה-כפר יונה-20,117,0,0%
10492,492,גלים,צומת עלומים בארי-שדות נגב<->מרכז תחבורתי הארזים/הורדה-ירושלי,116,0,0%
10494,494,גלים,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->שד.הרצל/משעול איריס-,80,0,0%
10495,495,גלים,גשר המיתרים/שד' הרצל-ירושלים<->בני נצרים-בני נצרים-20,26,0,0%
14466,466,גלים,מכללת אחוה-באר טוביה<->חממות-רהט-20,24,0,0%
10496,496,גלים,מרכז תחבורתי הארזים/בינעירוני-ירושלים<->ת.רכבת נתיבות/רציפים,105,0,0%
13462,462,גלים,מרכז מסחרי/דרך מנחם בגין-שדרות<->חממות-רהט-20,46,0,0%
19171,171,קווים,ביה''ס אשאטי-ג'סר א זרקא<->פוריידיס 16-פוריידיס-20,44,0,0%
13360,360,נתיב אקספרס,ת. מרכזית המפרץ/רציפים בינעירוני-חיפה<->ת. מרכזית צפת/הורדה-,70,0,0%
48030,30א,אגד,נמל תעופה רמון/רציפים-אילת<->תחנה מרכזית/חטיבת הנגב-אילת-2ז,114,0,0%
13445,445,מטרופולין,נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון<->מסוף רדינג/,256,0,0%
14190,190,אגד,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. רכבת הראשו,132,0,0%
13193,193,אגד,ת. רכבת הראשונים-ראשון לציון<->מסוף רדינג/הורדה-תל אביב יפו-,124,0,0%
18122,122,גי.בי.טורס,ת. מרכזית טבריה/השילוח-טבריה<->עוזייר שכונה צפונית-עוזייר-2#,15,0,0%
11632,632,קווים,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->קידמה/התמדה-חרי,47,0,0%
22479,479,קווים,מסוף קרית אונו-קרית אונו<->ארבע עונות/חללי אגוז-לוד-20,36,0,0%
10576,576,מטרופולין,'עמל א-ראש העין<->מסוף שכונה ירוקה-כפר סבא-2#,24,0,0%
20150,150,מטרופולין,אסימוב/שדרות ורדימון-ירוחם<->ת.מרכזית באר שבע/הורדה-באר שבע-,240,0,0%
16152,152,מטרופולין,אסימוב/שדרות ורדימון-ירוחם<->ת.מרכזית באר שבע/הורדה-באר שבע-,18,0,0%
15057,57א,אגד,פארק ירוחם-ירוחם<->כפר הסטודנטים/דרך יצחק שמיר-דימונה-2ז,80,0,0%
61080,80,מועצה אזורית גולן,בית ספר נופי גולן/סלעית-קצרין<->נאות גולן מרכז-נאות גולן-10,8,0,0%
15289,289,תנופה,תחנה תפעולית/חניון הרטום-אטון-ירושלים<->מרכז לגיל הרך/הרב א.,53,0,0%
15281,281,אלקטרה אפיקים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מסוף הריביירה,72,0,0%
20479,479,אלקטרה אפיקים תחבורה,הרב פנחס לוין/נתיבות שלום-עמנואל<->שדרות שז''ר/בנייני האומה-,167,0,0%
13611,611,מטרופולין,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית נתניה,60,0,0%
15635,635,קווים,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->בת חפר/שדרות ,114,0,0%
15794,794,אגד,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. מרכזית איל,11,0,0%
12630,630,תנופה,זכריה הנביא/שדרות האמוראים-בית שמש<->בנייני האומה/הנשיא השיש,46,0,0%
12636,636,קווים,התע''ש/יד חרוצים-כפר סבא<->מסוף שרונה-כפר יונה-20,10,0,0%
12446,446,מטרופולין,נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון<->מסוף הספורט,75,0,0%
14384,384,קווים,שדרות יחד שבטי ישראל/הרב אלישיב-לוד<->אזור התעשייה-בני ברק-1,74,0,0%
11884,884,קווים,מסוף מודיעין עילית-מודיעין עילית<->שדרות יחד שבטי ישראל/שבט ,79,0,0%
92004,4,קווים,ת. רכבת בית יהושע-בית יהושע<->החלוצים/הפרדסים-צור משה-20,7,0,0%
12704,704,אגד,ת. מרכזית חדרה-חדרה<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב,78,0,0%
12626,626,תנופה,זכריה הנביא/שדרות האמוראים-בית שמש<->חניון רכבת מלחה/הורדה-י,220,0,0%
13309,309,נסיעות ותיירות,אזור תעשיה רמת ישי-רמת ישי<->מגרש ספורט/סוועאד-סואעד חמרייה-,74,0,0%
14310,310,נסיעות ותיירות,אזור תעשיה רמת ישי-רמת ישי<->מנזר סנטה אנה-ציפורי-2#,74,0,0%
15471,471,גלים,שדרות נפתלי הרץ אימבר/כפר דרום-באר שבע<->חממות-רהט-20,14,0,0%
12912,912,אגד,ת. מרכזית ירושלים/יפו-ירושלים<->ת. מרכזית טבריה/הורדה-טבריה-,101,0,0%
19380,380,מטרופולין,בית העלמין/חזון אי''ש-בני ברק<->רבן יוחנן בן זכאי/שמעיה-אלעד,85,0,0%
43047,47,אלקטרה אפיקים תחבורה,מעלה לבונה ה-מעלה לבונה<->'שילה ב-שילה-2#,24,0,0%
11140,140,אלקטרה אפיקים תחבורה,מסוף בית אל-בית אל<->שדרות שז''ר/בנייני האומה-ירושלים-2#,242,0,0%
13141,141,אלקטרה אפיקים תחבורה,מסוף בית אל-בית אל<->שדרות שז''ר/בנייני האומה-ירושלים-2#,205,0,0%
11145,145,אלקטרה אפיקים תחבורה,מסוף תל ציון-כוכב יעקב<->שדרות שז''ר/בנייני האומה-ירושלים-2#,360,0,0%
12146,146,אלקטרה אפיקים תחבורה,מעלה מכמש-מעלה מכמש<->מסוף שער בנימין/הורדה-מטה בנימין-2#,161,0,0%
15147,147,אלקטרה אפיקים תחבורה,מחנה רבין-מטה בנימין<->מסוף שער בנימין/הורדה-מטה בנימין-2#,41,0,0%
15148,148,אלקטרה אפיקים תחבורה,פסגות מרכז-פסגות<->תחנת רכבת קלה גבעת התחמושת-ירושלים-2#,182,0,0%
11462,462,אלקטרה אפיקים תחבורה,קניון אריאל-אריאל<->תחנת רכבת קלה גבעת התחמושת-ירושלים-2#,121,0,0%
16464,464,אלקטרה אפיקים תחבורה,קניון אריאל-אריאל<->תחנת רכבת קלה גבעת התחמושת-ירושלים-2#,75,0,0%
12466,466,אלקטרה אפיקים תחבורה,היובל/הגיתית-קדומים<->תחנת רכבת קלה גבעת התחמושת-ירושלים-2#,17,0,0%
11467,467,אלקטרה אפיקים תחבורה,אלון מורה/ישיבה-אלון מורה<->תחנת רכבת קלה גבעת התחמושת-ירושל,82,0,0%
13469,469,אלקטרה אפיקים תחבורה,היובל/הגיתית-קדומים<->שדרות שז''ר/בנייני האומה-ירושלים-2#,109,0,0%
14475,475,אלקטרה אפיקים תחבורה,היובל/הגיתית-קדומים<->שדרות שז''ר/בנייני האומה-ירושלים-2#,18,0,0%
11943,943,אלקטרה אפיקים תחבורה,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->מסוף בית שאן/הורדה,11,0,0%
27222,222,מטרופולין,השונית/יורדי ים-הרצליה<->איזור התעשיה כפר סבא-כפר סבא-2#,176,0,0%
18322,322,מטרופולין,אחת עשרה נקודות/יצחק שמיר-נתיבות<->בית הלוחם-באר שבע-2#,22,0,0%
15342,342,מטרופולין,בית הלוחם-באר שבע<->המעפילים/דניאל-שדרות-2#,68,0,0%
21347,347,מטרופולין,המעפילים/דניאל-שדרות<->ת. מרכזית אשדוד-אשדוד-2#,38,0,0%
