מקט,קו,מפעילה,מסלול,נסיעות ביום,מהן נגישות,אחוז נגיש
11365,365,נסיעות ותיירות,סחנין יציאה מערבית-סח'נין<->ת. מרכזית צפת/הורדה-צפת-1#,76,0,0%
19035,35,נתיב אקספרס,כלנית/איריס-מעלות תרשיחא<->דרך הארבעה/דרך המלאכה-עכו-1#,82,0,0%
10607,607,מטרופולין,מכללת נתניה/החינוך העברי-נתניה<->ת.מרכזית תל אביב קומה 6/הור,8,0,0%
10604,604,מטרופולין,מסוף רדינג/רציפים-תל אביב יפו<->ת. מרכזית נתניה-נתניה-2#,18,0,0%
11294,294,נתיב אקספרס,אוניברסיטה/רב תכליתי-חיפה<->מאר אליאס/אל מרג'-פסוטה-2#,12,0,0%
23035,35,אלקטרה אפיקים,הדר/התפוח-קדרון<->ת. מרכזית יבנה-יבנה-2#,44,0,0%
19036,36,אלקטרה אפיקים,ת. רכבת רחובות/רציפים בין עירוני-רחובות<->שדרות הבנים/השקד-ש,44,0,0%
20037,37,אלקטרה אפיקים,ת. רכבת רחובות/רציפים בין עירוני-רחובות<->מרכז מסחרי/חשמונאי,224,0,0%
11990,990,נתיב אקספרס,ת. מרכזית צפת/רציפים-צפת<->בית ספר בית יעקב/הרב משקובסקי-רכס,12,0,0%
10304,304,אגד,אלי כהן/יצחק בן צבי-אשקלון<->ת. רכבת תל אביב - סבידור/דרך נמ,22,0,0%
10940,940,אגד,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. מרכזית חוף הכרמ,32,0,0%
11991,991,נתיב אקספרס,ת.מרכזית עפולה/רציפים-עפולה<->ת. מרכזית צפת/הורדה-צפת-2#,42,0,0%
14979,979,נתיב אקספרס,צומת מירון-מרום הגליל<->מסוף אלוף שדה-רמת גן-2#,83,0,0%
10988,988,נתיב אקספרס,טעם הצבי/שלב א-חצור הגלילית<->מסוף שער העיר/הורדה-קרית גת-2#,18,0,0%
